# From Gordon et al. (2009, ApJ, 705, 1320), Table 1
# Edited to have uniform star names and clear column names
#Name  SpType   V  AV  AV_unc RV  RV_unc  C1  C1_unc  C2  C2_unc C3 C3_unc C4 C4_unc x_o x_o_unc gamma gamma_unc
HD091824	O6V	8.14	0.60      0.06	3.10      0.31	-0.81      0.41	0.90      0.22	3.69      1.11	0.43      0.06	4.62      0.09	1.00      0.10	
HD093028	O8V	8.37	0.80      0.12	3.20      0.48	0.38      0.19	0.61      0.15	2.07      0.41	0.29      0.06	4.62      0.18	0.87      0.09	
HD097471	B0V	9.30	0.90      0.09	3.10      0.31	-0.93      0.47	0.88      0.18	1.83      0.55	0.28      0.06	4.62      0.09	0.85      0.09	
BD+52d3210	B1V	10.69	0.85      0.09	3.50      0.35	-1.67      0.42	0.99      0.15	3.43      0.69	0.25      0.06	4.60      0.09	0.91      0.09	
BD+32d270	B2V	10.29	0.10      0.04	3.10      1.24	-0.24      0.12	0.74      0.37	2.00      1.00	0.82      0.41	4.59      0.46	1.00      0.20	
HD051013	B3V	8.81	0.10      0.04	3.10      1.55	-0.24      0.12	0.74      0.37	2.00      1.00	0.42      0.21	4.59      0.46	1.00      0.20	
HD037332	B4V	7.62	0.10      0.02	3.10      0.60	-0.24      0.12	0.94      0.47	3.56      1.78	2.00      0.50	4.59      0.46	1.00      0.20	
HD037525	B5V	8.08	0.18      0.09	3.10      1.24	-0.24      0.12	0.74      0.37	3.56      1.78	0.52      0.26	4.59      0.18	1.00      0.20	
HD116852	O9III	8.47	0.63      0.06	3.01      0.60	-0.65      0.33	0.70      0.10	1.41      0.28	0.28      0.07	4.56      0.18	0.72      0.07	
HD104705	B0III	7.76	1.06      0.11	3.31      0.33	0.27      0.13	0.49      0.10	2.01      0.40	0.30      0.03	4.56      0.09	0.82      0.08	
HD172140	B0.5III	9.94	0.56      0.11	2.34      0.47	-0.37      0.18	0.61      0.15	2.58      0.52	0.37      0.06	4.59      0.09	0.89      0.09	
HD114444	B2III	10.31	0.51      0.10	2.65      0.53	-0.65      0.32	0.40      0.10	2.56      0.51	0.31      0.08	4.61      0.09	0.82      0.08	
HD235874	B3III	9.64	0.58      0.06	2.93      0.29	-2.63      0.66	1.11      0.11	3.26      0.65	0.26      0.06	4.68      0.09	0.97      0.10	
HD210809	O9Ib	7.54	0.98      0.05	3.10      0.31	-1.23      0.31	0.98      0.05	2.58      0.26	0.45      0.02	4.60      0.09	1.00      0.10	
HD091983	O9.5Ib	8.58	1.10      0.11	3.10      0.23	0.35      0.17	0.61      0.09	2.50      0.50	0.40      0.04	4.61      0.09	0.98      0.10	
HD094493	B0.5Iab	7.27	0.70      0.04	3.30      0.33	-1.02      0.51	0.95      0.19	3.14      0.63	0.56      0.08	4.60      0.09	0.93      0.09	
HD100276	B1Ib	7.22	0.83      0.08	3.50      0.35	-1.48      0.37	0.92      0.09	3.30      0.66	0.26      0.06	4.59      0.09	0.95      0.10	
HD075309	B2Ib	7.85	0.64      0.06	3.53      0.71	0.39      0.20	0.53      0.13	2.59      0.52	0.30      0.08	4.60      0.09	0.76      0.08	
