# From Gordon et al. (2009, ApJ, 705, 1320), Table 2
# Edited to have uniform star names and clear column names
#Name           SpType  Comparison         V    AV AV_runc AV_sunc        EBV EBV_runc EBV_sunc  RV   RV_runc  RV_sunc	
BD+35d4258	B0.5V	HD097471	9.41	0.95      0.04      0.03	0.31      0.053      0.037	3.06      0.380      0.011	
BD+53d2820	B0IV	HD104705	9.95	1.20      0.04      0.03	0.40      0.047      0.035	3.01      0.249      0.012	
BD+56d524	B1V	BD+52d3210	9.75	1.80      0.04      0.02	0.60      0.044      0.023	2.98      0.191      0.009	
HD001383	B1II	HD100276	7.63	1.36      0.04      0.02	0.45      0.035      0.029	3.04      0.151      0.009	
HD013268	O8V	HD093028	8.18	1.35      0.04      0.03	0.44      0.052      0.042	3.07      0.231      0.014	
HD014250	B1IV	BD+52d3210	8.96	1.77      0.04      0.02	0.58      0.044      0.024	3.04      0.203      0.009	
HD014434	O6.5V	HD091824	8.50	1.22      0.06      0.02	0.42      0.044      0.021	2.89      0.293      0.007	
HD015558	O5V	HD091824	7.81	2.22      0.05      0.02	0.78      0.041      0.013	2.83      0.153      0.007	
HD017505	O6V	HD091824	7.06	1.80      0.06      0.02	0.66      0.041      0.014	2.71      0.179      0.007	
HD023060	B2V	BD+32d270	7.48	0.99      0.04      0.01	0.30      0.056      0.028	3.28      0.542      0.004	
HD027778	B3V	HD051013	6.36	1.09      0.03      0.01	0.39      0.057      0.023	2.79      0.382      0.005	
HD037903	B1.5V	BD+52d3210	7.83	1.49      0.04      0.02	0.36      0.054      0.038	4.11      0.432      0.009	
HD038087	B5V	HD037525	8.30	1.33      0.04      0.03	0.27      0.082      0.079	4.97      0.427      0.009	
HD045314	O9V	HD093028	6.64	2.15      0.04      0.03	0.46      0.062      0.054	4.68      0.328      0.013	
HD046056	O8V	HD093028	8.15	1.41      0.05      0.03	0.50      0.048      0.036	2.83      0.190      0.013	
HD046150	O6V	HD091824	6.76	1.13      0.05      0.02	0.39      0.045      0.022	2.88      0.309      0.007	
HD046202	O9V	HD093028	8.18	1.53      0.05      0.03	0.49      0.048      0.037	3.13      0.213      0.014	
HD047129	O8V	HD093028	6.08	1.39      0.05      0.04	0.37      0.060      0.051	3.77      0.332      0.014	
HD047240	B1Ib	HD100276	6.15	1.14      0.04      0.02	0.33      0.042      0.037	3.50      0.232      0.009	
HD047417	B0IV	HD104705	6.97	0.99      0.04      0.03	0.31      0.052      0.041	3.21      0.340      0.012	
HD062542	B3V	HD051013	8.04	1.16      0.04      0.01	0.37      0.063      0.026	3.10      0.491      0.005	
HD073882	O9III	HD116852	7.21	2.46      0.03      0.02	0.69      0.042      0.037	3.58      0.112      0.011	
HD091651	O9V	HD093028	8.84	1.07      0.05      0.04	0.29      0.075      0.060	3.69      0.594      0.014	
HD093222	O8V	HD093028	8.11	1.76      0.05      0.04	0.36      0.077      0.066	4.88      0.550      0.014	
HD093250	O6V	HD091824	7.37	1.54      0.05      0.02	0.43      0.046      0.025	3.55      0.336      0.008	
HD093827	B2Ib	HD075309	9.31	0.80      0.04      0.02	0.21      0.091      0.083	3.78      0.709      0.010	
HD096675	B6IV	HD037525	7.69	0.99      0.04      0.03	0.29      0.058      0.054	3.45      0.284      0.009	
HD096715	O5V	HD091824	8.25	1.12      0.05      0.02	0.37      0.046      0.024	2.99      0.338      0.008	
HD099872	B3V	HD051013	6.09	1.07      0.03      0.01	0.36      0.058      0.026	2.95      0.435      0.005	
HD099890	B0.5V	HD097471	8.28	0.75      0.04      0.03	0.24      0.067      0.043	3.11      0.675      0.011	
HD100213	O8V	HD093028	8.38	1.28      0.05      0.04	0.37      0.059      0.050	3.47      0.307      0.014	
HD101190	O7V	HD091824	7.27	0.90      0.05      0.02	0.31      0.047      0.026	2.89      0.390      0.007	
HD101205	O8V	HD093028	6.47	1.28      0.05      0.03	0.35      0.066      0.052	3.66      0.429      0.014	
HD103779	B0.5II	HD094493	7.21	0.66      0.03      0.01	0.20      0.045      0.041	3.29      0.356      0.006	
HD122879	B0Ia	HD091983	6.41	1.41      0.04      0.03	0.44      0.036      0.025	3.17      0.199      0.012	
HD124979	O8V	HD093028	8.50	1.19      0.05      0.04	0.43      0.049      0.038	2.76      0.204      0.014	
HD147888	B4V	HD037332	6.74	1.97      0.03      0.01	0.48      0.023      0.011	4.08      0.184      0.002	
HD148422	B1Ia	HD100276	8.65	0.84      0.04      0.02	0.29      0.042      0.036	2.94      0.229      0.009	
HD149404	O9Ia	HD210809	5.48	2.28      0.06      0.01	0.63      0.043      0.029	3.65      0.204      0.009	
HD151805	B1Ib	HD100276	8.91	1.11      0.04      0.02	0.34      0.044      0.036	3.30      0.275      0.009	
HD152233	O6V	HD091824	6.59	1.30      0.06      0.02	0.39      0.052      0.025	3.30      0.407      0.007	
HD152234	B0.5Ia	HD094493	5.45	1.38      0.04      0.01	0.39      0.044      0.031	3.51      0.303      0.006	
HD152248	O8V	HD093028	6.10	1.66      0.05      0.04	0.46      0.055      0.045	3.62      0.260      0.014	
HD152249	O9Ib	HD210809	6.45	1.58      0.03      0.02	0.47      0.079      0.032	3.38      0.527      0.009	
HD152723	O7V	HD091824	7.31	1.40      0.06      0.02	0.36      0.055      0.030	3.86      0.508      0.007	
HD157857	O7V	HD091824	7.78	1.37      0.05      0.02	0.43      0.045      0.023	3.15      0.303      0.007	
HD160993	B1Iab	HD100276	7.71	0.65      0.04      0.02	0.21      0.060      0.046	3.15      0.593      0.009	
HD163522	B1Ia	HD100276	8.43	0.71      0.04      0.02	0.19      0.064      0.053	3.81      0.785      0.009	
HD164816	B0V	HD097471	7.11	0.99      0.04      0.03	0.31      0.059      0.038	3.21      0.474      0.010	
HD164906	B1IV	BD+52d3210	7.47	2.17      0.04      0.02	0.43      0.054      0.040	5.01      0.440      0.008	
HD165052	O6.5V	HD091824	6.87	1.25      0.06      0.02	0.35      0.064      0.029	3.62      0.616      0.007	
HD167402	O9.5V	HD097471	9.03	0.88      0.04      0.03	0.28      0.058      0.041	3.12      0.471      0.010	
HD167771	O8V	HD093028	6.54	1.48      0.05      0.04	0.42      0.060      0.048	3.53      0.311      0.013	
HD168076	O5V	HD091824	8.24	2.61      0.05      0.02	0.70      0.043      0.019	3.71      0.216      0.007	
HD168941	O9.5II	HD091983	9.38	1.23      0.04      0.03	0.34      0.042      0.032	3.56      0.284      0.011	
HD178487	B0Ia	HD091983	8.66	1.42      0.04      0.03	0.47      0.032      0.025	2.99      0.141      0.011	
HD179406	B3V	HD051013	5.33	0.94      0.03      0.01	0.33      0.060      0.030	2.82      0.456      0.004	
HD179407	B0II	HD104705	9.41	1.09      0.04      0.03	0.39      0.049      0.037	2.80      0.241      0.011	
HD185418	B0.5V	HD097471	7.45	1.39      0.04      0.03	0.52      0.046      0.027	2.67      0.200      0.010	
HD188001	O8V	HD093028	6.22	1.12      0.05      0.03	0.32      0.066      0.057	3.49      0.358      0.013	
