# From Gordon et al. (2009, ApJ, 705, 1320), Table 3
# Edited to have uniform star names and clear column names
#Name	        CAV1   CAV1_runc  CAV1_sunc     CAV2    CAV2_runc  CAV2_sunc    CAV3    CAV3_runc  CAV3_sunc    CAV4    CAV4_runc  CAV4_sunc    x_o      x_o_runc  x_o_sunc    gamma   gamma_runc gamma_sunc	
BD+35d4258	0.60      0.119      0.032	0.38      0.022      0.018	1.84      0.276      0.078	0.04      0.012      0.003	4.73      0.080      0.012	1.34      0.033      0.024	
BD+53d2820	0.70      0.060      0.026	0.30      0.012      0.012	1.06      0.089      0.042	0.10      0.008      0.004	4.62      0.033      0.012	1.01      0.023      0.015	
BD+56d524	0.67      0.046      0.018	0.32      0.008      0.008	1.40      0.078      0.036	0.13      0.009      0.003	4.58      0.021      0.008	1.03      0.019      0.009	
HD001383	0.82      0.051      0.026	0.26      0.011      0.008	1.30      0.075      0.043	0.11      0.008      0.004	4.56      0.026      0.009	1.00      0.019      0.010	
HD013268	0.53      0.057      0.019	0.36      0.011      0.014	0.83      0.062      0.039	0.10      0.008      0.004	4.58      0.028      0.016	0.89      0.023      0.018	
HD014250	0.73      0.043      0.020	0.29      0.008      0.008	1.42      0.066      0.038	0.13      0.007      0.003	4.59      0.020      0.008	1.00      0.018      0.009	
HD014434	0.41      0.082      0.023	0.38      0.016      0.020	1.24      0.118      0.070	0.11      0.014      0.005	4.56      0.035      0.008	0.96      0.019      0.010	
HD015558	0.95      0.052      0.023	0.23      0.010      0.007	1.46      0.077      0.040	0.13      0.009      0.003	4.56      0.017      0.005	1.00      0.017      0.005	
HD017505	0.61      0.045      0.022	0.34      0.009      0.013	1.40      0.069      0.053	0.12      0.008      0.004	4.57      0.020      0.006	1.00      0.017      0.007	
HD023060	1.70      0.090      0.061	0.07      0.015      0.005	1.37      0.133      0.061	0.14      0.010      0.006	4.56      0.043      0.007	1.12      0.026      0.019	
HD027778	0.87      0.071      0.028	0.32      0.015      0.011	1.31      0.102      0.051	0.24      0.013      0.008	4.59      0.045      0.008	1.21      0.026      0.017	
HD037903	1.17      0.056      0.033	0.11      0.011      0.007	1.04      0.091      0.034	0.14      0.009      0.004	4.60      0.039      0.014	1.19      0.026      0.018	
HD038087	1.39      0.029      0.042	0.01      0.003      0.007	0.88      0.082      0.031	0.10      0.008      0.004	4.56      0.034      0.009	1.00      0.020      0.011	
HD045314	1.07      0.026      0.024	0.13      0.006      0.006	0.60      0.034      0.020	0.06      0.005      0.002	4.63      0.031      0.020	1.02      0.028      0.023	
HD046056	0.73      0.054      0.025	0.32      0.010      0.012	1.17      0.065      0.048	0.13      0.007      0.005	4.57      0.025      0.014	0.93      0.022      0.016	
HD046150	0.68      0.090      0.034	0.30      0.018      0.016	1.24      0.100      0.068	0.15      0.014      0.007	4.56      0.033      0.009	0.92      0.017      0.008	
HD046202	0.80      0.055      0.026	0.28      0.010      0.010	1.07      0.057      0.044	0.12      0.007      0.004	4.58      0.029      0.015	0.93      0.022      0.016	
HD047129	0.58      0.059      0.021	0.27      0.012      0.011	0.79      0.066      0.042	0.07      0.008      0.003	4.58      0.036      0.019	0.93      0.028      0.023	
HD047240	0.76      0.084      0.029	0.29      0.016      0.011	1.25      0.127      0.047	0.13      0.013      0.005	4.64      0.046      0.012	1.09      0.022      0.013	
HD047417	0.69      0.091      0.030	0.29      0.017      0.013	1.05      0.140      0.050	0.13      0.015      0.006	4.59      0.059      0.014	1.04      0.023      0.016	
HD062542	0.38      0.086      0.013	0.44      0.017      0.015	0.79      0.126      0.038	0.32      0.020      0.010	4.64      0.079      0.018	1.37      0.037      0.029	
HD073882	1.01      0.030      0.015	0.20      0.007      0.004	0.86      0.043      0.019	0.18      0.008      0.003	4.56      0.028      0.015	1.16      0.025      0.017	
HD091651	0.68      0.078      0.031	0.28      0.014      0.014	0.84      0.095      0.054	0.04      0.007      0.003	4.65      0.058      0.026	1.04      0.034      0.029	
HD093222	1.01      0.038      0.028	0.13      0.008      0.006	0.48      0.033      0.027	0.06      0.005      0.002	4.57      0.032      0.019	0.85      0.026      0.022	
HD093250	0.89      0.096      0.031	0.22      0.017      0.010	0.98      0.126      0.043	0.08      0.011      0.003	4.55      0.060      0.011	1.14      0.024      0.015	
HD093827	1.03      0.104      0.047	0.19      0.019      0.010	0.80      0.105      0.043	0.10      0.013      0.005	4.60      0.052      0.014	0.92      0.021      0.014	
HD096675	1.24      0.105      0.048	0.20      0.019      0.011	2.00      0.184      0.084	0.28      0.018      0.012	4.56      0.043      0.010	1.28      0.027      0.016	
HD096715	0.57      0.097      0.031	0.30      0.018      0.016	1.03      0.104      0.061	0.16      0.015      0.008	4.57      0.041      0.009	0.91      0.017      0.008	
HD099872	1.15      0.095      0.037	0.16      0.018      0.007	1.42      0.131      0.053	0.11      0.012      0.004	4.57      0.037      0.005	1.01      0.021      0.012	
HD099890	0.01      0.000      0.025	0.49      0.009      0.031	0.60      0.106      0.055	0.02      0.006      0.003	4.66      0.077      0.016	0.82      0.021      0.017	
HD100213	1.08      0.077      0.040	0.16      0.014      0.009	0.97      0.082      0.043	0.11      0.008      0.005	4.60      0.034      0.018	0.95      0.024      0.018	
HD101190	0.44      0.091      0.029	0.34      0.018      0.022	1.06      0.114      0.075	0.13      0.016      0.008	4.59      0.046      0.011	0.93      0.019      0.011	
HD101205	0.96      0.066      0.036	0.19      0.013      0.009	0.79      0.065      0.043	0.10      0.009      0.004	4.56      0.037      0.019	0.90      0.028      0.023	
